S.no.,k,Success Rate,Collision Rate,Nav Time,Total Reward,Freq. Danger,Avg. Min. Separation dist in Danger,Configuration of Robot,Configuration of humans
1,1,0.0,1.0,25,-0.6234503755144005,0.14285714285714285,0.003305465060275181,"[[(0.8, -7.1), (-4.8, 1.1)]]","[[(-1.1, -5.5), (6.8, 0.1)], [(6.7, 0.5), (-0.1, 6.5)], [(0.5, -2.0), (5.2, -0.4)], [(-6.7, 0.2), (-5.2, 0.8)], [(2.9, -0.6), (1.2, 4.2)], [(0.9, 0.6), (5.6, 1.0)], [(0.9, -0.8), (-3.1, 0.9)], [(2.8, 0.8), (-3.8, -0.9)]]"
1,1,1.0,0.0,7.75,0.45339889351816887,0.45161290322580644,0.1006123372406665,"[[(4.3, 0.3), (-2.3, 1.2)]]","[[(3.6, -0.4), (-5.1, -0.1)], [(1.9, -0.1), (-0.1, -3.9)], [(0.9, 5.8), (1.0, -2.6)], [(-0.5, 1.0), (2.4, 0.7)], [(0.5, -3.8), (-6.2, 0.3)], [(-3.2, 1.2), (-6.0, -1.2)], [(2.6, -1.1), (4.2, -1.2)], [(4.6, -1.2), (-3.2, 0.5)]]"
1,1,0.0,1.0,25,-0.48034063705276114,0.1875,0.02840139030289131,"[[(0.7, 3.9), (-1.2, -3.8)]]","[[(-0.4, -0.8), (-4.3, 0.9)], [(-5.4, -0.2), (-2.5, 0.4)], [(5.1, -0.4), (-7.2, -0.1)], [(0.2, -7.2), (0.3, -3.9)], [(-0.4, -4.1), (-1.0, -4.2)], [(-4.8, 0.6), (-1.0, 6.4)], [(0.8, -0.4), (1.2, 2.7)], [(1.2, -3.3), (-5.4, 0.8)]]"
1,1,1.0,0.0,1.75,1.528289715187008,0.42857142857142855,0.08052260564814291,"[[(-2.5, -1.2), (0.4, -2.1)]]","[[(-6.3, 0.3), (-3.1, -0.6)], [(2.3, 0.9), (1.0, -4.3)], [(3.0, -0.5), (5.7, -1.1)], [(-4.2, -0.5), (-5.1, 0.2)], [(-0.9, 1.7), (3.6, -0.8)], [(0.5, -7.2), (-4.1, 0.0)], [(1.9, -1.0), (0.3, -5.9)], [(-2.0, -0.3), (-2.4, 1.1)]]"
1,1,0.0,1.0,25,-0.6559173833780108,0.2,0.12485103992704494,"[[(-0.1, -4.4), (0.4, 6.7)]]","[[(0.9, -5.9), (0.2, 5.1)], [(-4.9, -0.9), (0.9, 6.9)], [(-1.2, -3.5), (5.6, 1.1)], [(-3.4, 0.4), (-0.8, 5.2)], [(1.2, -4.2), (-7.0, -1.2)], [(2.0, -0.2), (-3.6, -0.6)], [(3.5, -0.8), (0.2, -6.9)], [(-0.4, 4.9), (-0.4, -6.0)]]"
1,1,0.0,1.0,25,-0.3707028970883693,0.21739130434782608,0.1300449781029416,"[[(-0.5, -4.6), (-0.2, 6.4)]]","[[(-0.8, -3.4), (-0.1, 6.3)], [(-2.5, 0.1), (-2.1, -0.5)], [(-2.2, -1.1), (4.7, 0.6)], [(0.9, -6.2), (6.3, 0.4)], [(-6.7, -0.2), (-0.1, -6.5)], [(4.0, -0.8), (0.8, 2.6)], [(-1.6, 1.2), (3.5, 0.9)], [(3.1, 0.0), (5.4, -0.5)]]"
1,1,0.0,1.0,25,-0.75,0.0,0,"[[(-0.8, 6.9), (1.0, -5.8)]]","[[(1.2, 5.1), (0.3, -3.5)], [(-4.2, 0.8), (-1.2, 5.8)], [(-0.2, 6.5), (-3.3, -0.8)], [(6.9, 0.6), (0.2, 3.8)], [(0.5, -5.5), (4.9, -0.7)], [(-6.7, 0.9), (0.7, 6.5)], [(5.4, -0.7), (-6.0, -0.3)], [(0.2, -1.9), (-0.9, -2.9)]]"
1,1,1.0,0.0,3.25,1.2178809487939033,0.23076923076923078,0.17061607836029194,"[[(3.4, -0.4), (-0.6, -4.2)]]","[[(7.0, 0.8), (1.1, 3.5)], [(-0.9, 6.0), (-6.1, -0.3)], [(-0.0, 1.0), (1.1, 2.1)], [(-1.3, -0.2), (0.1, 6.5)], [(-0.4, 3.0), (-3.5, -0.4)], [(4.9, 1.1), (-0.5, 3.3)], [(-3.8, 1.0), (3.9, -0.4)], [(0.8, -2.1), (-7.1, 0.7)]]"
1,1,1.0,0.0,21.75,-0.23764940795201767,0.7931034482758621,0.023422560966287375,"[[(0.3, -4.3), (-1.1, 3.6)]]","[[(-4.2, 1.1), (-0.5, 5.6)], [(1.1, -4.9), (2.4, -1.1)], [(5.8, 0.9), (0.2, 2.8)], [(2.3, 0.2), (-0.9, -6.3)], [(-0.2, 7.0), (-3.2, -1.1)], [(-6.1, -0.1), (0.1, -6.7)], [(1.0, 0.4), (0.6, 4.1)], [(0.9, 1.9), (0.4, 5.1)]]"
1,1,0.0,1.0,25,-0.5055340390639602,0.07692307692307693,0.002665084329365519,"[[(-0.7, 4.4), (1.0, -3.7)]]","[[(4.0, 0.5), (-1.2, -7.0)], [(-3.9, 0.2), (-1.0, 6.4)], [(-0.7, -5.0), (-5.9, 1.2)], [(-2.7, 0.6), (4.7, 1.1)], [(-0.9, 6.1), (-7.1, 1.2)], [(0.6, 0.5), (3.1, -0.8)], [(0.5, -3.9), (-4.9, -0.1)], [(4.6, -0.5), (-0.7, 3.4)]]"
1,1,0.0,1.0,25,-0.530970233136624,0.16666666666666666,0.047613785500785155,"[[(0.8, -4.2), (1.1, 4.3)]]","[[(-0.4, -6.3), (-0.1, 6.5)], [(-0.7, -4.0), (-1.0, -5.3)], [(-6.7, 1.1), (-0.2, 5.0)], [(0.5, 2.5), (0.2, -4.9)], [(0.3, -7.1), (2.5, -0.3)], [(4.5, -0.4), (7.1, -1.1)], [(3.9, 0.8), (-3.2, 1.2)], [(-0.8, -2.6), (-4.4, -0.7)]]"
1,1,0.0,1.0,25,-0.530504952989699,0.09090909090909091,0.1315739828342143,"[[(-0.6, -6.5), (-6.6, 0.8)]]","[[(2.0, -1.1), (-0.6, -3.6)], [(1.2, 5.1), (-1.2, -5.7)], [(1.4, 0.3), (6.2, 0.6)], [(0.1, 0.7), (0.7, -5.1)], [(-4.8, -0.4), (3.7, -0.1)], [(0.1, 1.8), (1.1, 4.6)], [(-0.0, -4.3), (-4.2, 1.2)], [(-3.4, 0.4), (2.4, 0.8)]]"
1,1,0.0,1.0,25,-0.5843676227330913,0.0,0,"[[(7.0, -0.9), (-3.5, 0.7)]]","[[(1.0, -3.8), (-6.2, -0.0)], [(-1.0, -2.7), (-0.9, 7.2)], [(-7.0, -0.0), (-4.1, -0.6)], [(-5.9, -0.8), (-1.1, -7.0)], [(0.8, -7.2), (0.9, -3.8)], [(4.5, 1.0), (-0.4, -4.9)], [(1.2, -0.6), (1.2, 3.0)], [(-2.3, -0.9), (2.6, 0.5)]]"
1,1,0.0,1.0,25,-0.75,0.0,0,"[[(6.7, 0.9), (0.7, -3.6)]]","[[(-7.2, -1.0), (3.1, 0.2)], [(-1.0, 3.4), (0.5, 3.5)], [(-6.9, 0.2), (-7.2, 0.2)], [(7.1, 0.7), (1.1, 6.4)], [(1.1, 3.3), (0.8, -5.4)], [(0.3, 4.9), (-5.0, -0.5)], [(-1.1, 2.3), (-5.9, 0.7)], [(1.1, 6.4), (5.9, 0.2)]]"
